text,final_text,tokens,sentiment_score,sentiment
"New innovation for kaum mager iya gasiii😭 skintific mugwort clay stick aaaa langsung jatuh cinta dehh 
Kemasan nya 40gr under 100k worth to buy sii!! Yg masih mager maskeran kudu wajib punya 

✨ shope.ee/6zl1mpax16

#racuninskincare #skintizen #racunskincare #skintific",new innovation for kaum mager iya gasiii skintific mugwort clay stick aaaa langsung jatuh cinta deh kemas gr under ke worth buy sih mager masker kudu wajib shopeeezlmpax racuninskincare skintizen racunskincare skintific,"['new', 'innovation', 'for', 'kaum', 'mager', 'iya', 'gasiii', 'skintific', 'mugwort', 'clay', 'stick', 'aaaa', 'langsung', 'jatuh', 'cinta', 'deh', 'kemas', 'gr', 'under', 'ke', 'worth', 'buy', 'sih', 'mager', 'masker', 'kudu', 'wajib', 'shopeeezlmpax', 'racuninskincare', 'skintizen', 'racunskincare', 'skintific']",-12,negatif
"serum ini tuh aku coba pertama kalo tahun lalu, pas awal-awal muncul langsung sukaaa!!
eh ketagihan sampe sekarang 😍😍😍

Skintific 10% Niacinamide Brightening Serum
#racuninskincare #SKINTIZEN #SKINTIFICID",serum tuh coba pas awalawal muncul langsung suka eh tagih sampai skintific niacinamide brightening serum racuninskincare skintizen skintificid,"['serum', 'tuh', 'coba', 'pas', 'awalawal', 'muncul', 'langsung', 'suka', 'eh', 'tagih', 'sampai', 'skintific', 'niacinamide', 'brightening', 'serum', 'racuninskincare', 'skintizen', 'skintificid']",-4,negatif
"Buat yg punya kulit sensitif atau acne prone skin wajib banget sih cobain moist skintific ini, bahkan mutual aku ada yg repurchase sampe berkali kali saking cintanya sama si 5x ceramide.  

tag @elsakffadillah 🤣 

#SKINTIZEN #SKINTIFICID",kulit sensitif acne prone skin wajib banget mencoba moist skintific mutual repurchase sampai kali kali saking cinta sih ceramide tag skintizen skintificid,"['kulit', 'sensitif', 'acne', 'prone', 'skin', 'wajib', 'banget', 'mencoba', 'moist', 'skintific', 'mutual', 'repurchase', 'sampai', 'kali', 'kali', 'saking', 'cinta', 'sih', 'ceramide', 'tag', 'skintizen', 'skintificid']",-4,negatif
"Si Penyelamat kalau re-apply sunscreen tapi lagi make up-an ❤️
Gausah lah takut make up longsor kalau pake SKINTIFIC Sunscreen Mist SPF50++++
 
-a thread review
 
#racuninskincare #SKINTIZEN",sih selamat reapply sunscreen memakai upan takut memakai up longsor pakai skintific sunscreen mist spf thread racuninskincare skintizen,"['sih', 'selamat', 'reapply', 'sunscreen', 'memakai', 'upan', 'takut', 'memakai', 'up', 'longsor', 'pakai', 'skintific', 'sunscreen', 'mist', 'spf', 'thread', 'racuninskincare', 'skintizen']",1,netral
"look!!

Skintific Msh Niacinamide Brightening Moisturizer ini bisa lebih mengontrol minyak di wajah & juga bisa mencerahkan pastinya 😍

ini setelah pemakaian 2 minggu lebih ya, mantul kan!!
YUK COBAIN 😍😍

#SKINTIZEN #SKINTIFICID
shopee.co.id/product/4577067…",look skintific masih niacinamide brightening moisturizer kontrol minyak wajah cerah pasti pakai minggu mantul yuk mencoba skintizen skintificid,"['look', 'skintific', 'masih', 'niacinamide', 'brightening', 'moisturizer', 'kontrol', 'minyak', 'wajah', 'cerah', 'pasti', 'pakai', 'minggu', 'mantul', 'yuk', 'mencoba', 'skintizen', 'skintificid']",7,positif
"dari 3 produk skintific yg udah aku cobain mana nih wishlist kalian?👀 atau udh ada yg kalian cobain? sharing dong di comment✨

#racuninskincare #SKINTIZEN #SKINTIFICID",produk skintific mencoba wishlist sudah mencoba sharing comment racuninskincare skintizen skintificid,"['produk', 'skintific', 'mencoba', 'wishlist', 'sudah', 'mencoba', 'sharing', 'comment', 'racuninskincare', 'skintizen', 'skintificid']",4,positif
"🚨yg lagi nyari serum jerawat gk bikin kering tp ttp ampuh merapat🚨

gk afdol kl nyobain produk skintific tanpa nyobain serum yg 1 ini, apalagi buat yg acne prone skin👀, yes! it’s Skintific 2% Salicylic Acid Anti Acne Serum✨

a thread
#racuninskincare #SKINTIZEN #SKINTIFICID",mencari serum jerawat enggak bikin kering tapi tetap ampuh rapat enggak afdol kalo mencoba produk skintific mencoba serum acne prone skin yes its skintific salicylic acid anti acne serum thread racuninskincare skintizen skintificid,"['mencari', 'serum', 'jerawat', 'enggak', 'bikin', 'kering', 'tapi', 'tetap', 'ampuh', 'rapat', 'enggak', 'afdol', 'kalo', 'mencoba', 'produk', 'skintific', 'mencoba', 'serum', 'acne', 'prone', 'skin', 'yes', 'its', 'skintific', 'salicylic', 'acid', 'anti', 'acne', 'serum', 'thread', 'racuninskincare', 'skintizen', 'skintificid']",-3,negatif
"✨Jujur ini emang WORTH THE HYPE SI, Belum nemu gak enaknya dimana. Emang enak banget, emang recommended sangattt!! Aku dari keracunan jadi ngeracun juga ni jadinya

#SKINTIZEN",jujur memang worth hype sih nemu enak mana memang enak banget memang recommended sangat racun ngeracun nih skintizen,"['jujur', 'memang', 'worth', 'hype', 'sih', 'nemu', 'enak', 'mana', 'memang', 'enak', 'banget', 'memang', 'recommended', 'sangat', 'racun', 'ngeracun', 'nih', 'skintizen']",-9,negatif
"FULL REVIEW:

—Setelah pemakaian kurang lebih 3 minggu, Kombinasi Niacinamide, Arbutin dan Tranexamic Acid  emang cakep bangetttt buat nyerahin, RIIL MIN ini!! 

#Skintizen #Skintificid",full pakai minggu kombinasi niacinamide arbutin tranexamic acid memang cakep banget nyerahin riil min skintizen skintificid,"['full', 'pakai', 'minggu', 'kombinasi', 'niacinamide', 'arbutin', 'tranexamic', 'acid', 'memang', 'cakep', 'banget', 'nyerahin', 'riil', 'min', 'skintizen', 'skintificid']",2,positif
"Buat temen2 yg butuh serum buat dark spot atau bekas jerawat PIE, plis cobain ini sumpah bagusss 😭👌🏻
Rasanya gentle, hydrating dan super nyaman 🥺💗

🌟5/5
💰IDR 139k/20ml

#racuninskincare #SKINTIFICID #skintizen",teman butuh serum dark spot bekas jerawat pie plis mencoba sumpah bagus gentle hydrating super nyaman idr kml racuninskincare skintificid skintizen,"['teman', 'butuh', 'serum', 'dark', 'spot', 'bekas', 'jerawat', 'pie', 'plis', 'mencoba', 'sumpah', 'bagus', 'gentle', 'hydrating', 'super', 'nyaman', 'idr', 'kml', 'racuninskincare', 'skintificid', 'skintizen']",-19,negatif
"SERUM SAT SET UNTUK MENCERAHKAN — Skintific Symwhite 377 Dark Spot Eraser Serum 🌼 

Stop scrolling kalo kalian punya permasalahan kulit kusam! Mau racunin serum yang bikin kulitku jadi lebih bersihan 2 mingguan ini 😭 + dark spots memudar #racuninskincare #SkintificID #SKINTIZEN",serum sat set cerah skintific symwhite dark spot eraser serum stop scrolling masalah kulit kusam racunin serum bikin kulit sih minggu dark spots pudar racuninskincare skintificid skintizen,"['serum', 'sat', 'set', 'cerah', 'skintific', 'symwhite', 'dark', 'spot', 'eraser', 'serum', 'stop', 'scrolling', 'masalah', 'kulit', 'kusam', 'racunin', 'serum', 'bikin', 'kulit', 'sih', 'minggu', 'dark', 'spots', 'pudar', 'racuninskincare', 'skintificid', 'skintizen']",-10,negatif
"nggak cuma moisturizernya skintific aja yang aku cobain, tp beberapa hari ini aku juga nyobain Barrier Repair Serumnya skintific loh!🤩 sama2 mengandung 5x ceramide kira2 apakah sama2 cucok?👀 mari kita buktikan👇🏻

a thread

#racuninskincare #SKINTIZEN #SKINTIFICID",enggak moisturizernya skintific mencoba tapi mencoba barrier repair serum skintific loh kandung ceramide cocok mari bukti thread racuninskincare skintizen skintificid,"['enggak', 'moisturizernya', 'skintific', 'mencoba', 'tapi', 'mencoba', 'barrier', 'repair', 'serum', 'skintific', 'loh', 'kandung', 'ceramide', 'cocok', 'mari', 'bukti', 'thread', 'racuninskincare', 'skintizen', 'skintificid']",-7,negatif
"kamu nanya rekomendasi moisturizer utk kulit kemerahan? ini dia nih jawabannya👇🏻

kali ini aku mau share reviewku nyobain produk skintific yang VIRAL BGT & jd favorit semua orang👀, yes! its Skintific Barrier Repair Moisture Gel

a thread
#racuninskincare #SKINTIZEN #SKINTIFICID",bertanya rekomendasi moisturizer untuk kulit merah jawab kali share reviewku mencoba produk skintific viral banget jadi favorit orang yes its skintific barrier repair moisture gel thread racuninskincare skintizen skintificid,"['bertanya', 'rekomendasi', 'moisturizer', 'untuk', 'kulit', 'merah', 'jawab', 'kali', 'share', 'reviewku', 'mencoba', 'produk', 'skintific', 'viral', 'banget', 'jadi', 'favorit', 'orang', 'yes', 'its', 'skintific', 'barrier', 'repair', 'moisture', 'gel', 'thread', 'racuninskincare', 'skintizen', 'skintificid']",-1,netral
"Kalau kegedean, ada size 75ml nya juga. Overall aku suka banget sm micellar water ini ❤️

🖇️ shope.ee/6Uwv2Kcdcg

#skintificid #micellarwater",gede size ml overall suka banget sama micellar water shopeeeuwvkcdcg skintificid micellarwater,"['gede', 'size', 'ml', 'overall', 'suka', 'banget', 'sama', 'micellar', 'water', 'shopeeeuwvkcdcg', 'skintificid', 'micellarwater']",4,positif
"Kenapa buah stroberi warnanua merah? 😌

Karena dia malu banyak jerawatnya 🤭🍓

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #FreePalestine #MAMAAWARD #satisfyingvideo #skintificid #Acne #Komedo #Blackheads #Whiteheads #PoriPoriBesar #PoriPori",buah stroberi warnanua merah malu jerawat beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours freepalestine mamaaward satisfyingvideo skintificid acne komedo blackheads whiteheads poriporibesar poripori,"['buah', 'stroberi', 'warnanua', 'merah', 'malu', 'jerawat', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'freepalestine', 'mamaaward', 'satisfyingvideo', 'skintificid', 'acne', 'komedo', 'blackheads', 'whiteheads', 'poriporibesar', 'poripori']",-13,negatif
"Kalian lebih suka pakai sebagai apa nih bestwiii? 🤓
 #BeliajadiProperBeauty#ProperBeautyid #ProperBeauty #ProperBeautyisYours #Makanan #Pandawara #Panas #boyfriend #skintific #skintificid #Properinfo #SkinTonic #Tonic #Bioaqua #BoseSkinTonic #Skincare #Hydrating #AntiAging",suka pakai bestwiii beliajadiproperbeautyproperbeautyid properbeauty properbeautyisyours makan pandawara panas boyfriend skintific skintificid properinfo skintonic tonic bioaqua boseskintonic skincare hydrating antiaging,"['suka', 'pakai', 'bestwiii', 'beliajadiproperbeautyproperbeautyid', 'properbeauty', 'properbeautyisyours', 'makan', 'pandawara', 'panas', 'boyfriend', 'skintific', 'skintificid', 'properinfo', 'skintonic', 'tonic', 'bioaqua', 'boseskintonic', 'skincare', 'hydrating', 'antiaging']",-3,negatif
"Terkade-kadeblu bet nih, udah ara-ara blom? 🤭

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #Miranda #Enzy #RiseIntoSpace #oktober #mygirl #skintific #Skintificid #dazzleme #jokes #properjokes #codeblu #araara #KekMana #Viral #trend #Cosplay #Review",terkadekadeblu banget araara belum beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours miranda enzy riseintospace oktober mygirl skintific skintificid dazzleme jokes properjokes codeblu araara kekmana viral trend cosplay,"['terkadekadeblu', 'banget', 'araara', 'belum', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'miranda', 'enzy', 'riseintospace', 'oktober', 'mygirl', 'skintific', 'skintificid', 'dazzleme', 'jokes', 'properjokes', 'codeblu', 'araara', 'kekmana', 'viral', 'trend', 'cosplay']",1,netral
"Kadang bingung gak sih sama orang yang kalo makeup apapun pasti simetris? 🥲

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #jessica #Skincare #Naru #Septemberdump #skintific #Skintificid #Eyeliner #Simetris #dazzleme #Dazzlemeeyeliner #sepuh",kadang bingung orang makeup apa simetris beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours jessica skincare naru septemberdump skintific skintificid eyeliner simetris dazzleme dazzlemeeyeliner sepuh,"['kadang', 'bingung', 'orang', 'makeup', 'apa', 'simetris', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'jessica', 'skincare', 'naru', 'septemberdump', 'skintific', 'skintificid', 'eyeliner', 'simetris', 'dazzleme', 'dazzlemeeyeliner', 'sepuh']",3,positif
"Mari rayakan Hari Batik Nasional dengan harapan bahwa warisan budaya ini akan terus berkembang dan dihargai 😊🇲🇨

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #jessica #RiseIntoSpace #september #Septemberdump #skintific #Skintificid #HariBatikNasional",mari raya batik nasional harap waris budaya kembang harga beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours jessica riseintospace september septemberdump skintific skintificid haribatiknasional,"['mari', 'raya', 'batik', 'nasional', 'harap', 'waris', 'budaya', 'kembang', 'harga', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'jessica', 'riseintospace', 'september', 'septemberdump', 'skintific', 'skintificid', 'haribatiknasional']",0,netral
"Pecinta Matcha belum matcha banget kalo belum punya ini nih 🤭
Matcha Lovers mana suaranya👂🏻🤚🏻

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #jessica #RiseIntoSpace #september #Septemberdump #skintific #Skintificid #Matcha #MatchaSeries #Hanasui",cinta matcha matcha banget matcha lovers suara beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours jessica riseintospace september septemberdump skintific skintificid matcha matchaseries hanasui,"['cinta', 'matcha', 'matcha', 'banget', 'matcha', 'lovers', 'suara', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'jessica', 'riseintospace', 'september', 'septemberdump', 'skintific', 'skintificid', 'matcha', 'matchaseries', 'hanasui']",3,positif
"Jomblo ketika ada yang mesra-mesraan di tempat umum, be lyke 🥲
Rasanya pen jambak juga gaksie? 🙃

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #Jessica #Istri #Korea #3d #taylor #skintific #skintificid #jokes #AsTheWorldCavesIn #lucu #Kocak #wardah",jomblo mesramesraan be lyke pengin jambak gaksie beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours jessica istri korea di taylor skintific skintificid jokes astheworldcavesin lucu kocak wardah,"['jomblo', 'mesramesraan', 'be', 'lyke', 'pengin', 'jambak', 'gaksie', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'jessica', 'istri', 'korea', 'di', 'taylor', 'skintific', 'skintificid', 'jokes', 'astheworldcavesin', 'lucu', 'kocak', 'wardah']",-12,negatif
"Sunscreen Pria Ter-Proper sepertinya akan jatuh ke tangan Kahf nih 😌
Emang boleh, se-Keren ini? 😎

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #Jessica #Istri #Korea #3d #taylor #skintific #skintificid #SunscreenStick #MenCare #Sunscreen",sunscreen pria terproper jatuh tangan kahf memang keren beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours jessica istri korea di taylor skintific skintificid sunscreenstick mencare sunscreen,"['sunscreen', 'pria', 'terproper', 'jatuh', 'tangan', 'kahf', 'memang', 'keren', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'jessica', 'istri', 'korea', 'di', 'taylor', 'skintific', 'skintificid', 'sunscreenstick', 'mencare', 'sunscreen']",-4,negatif
"Pemilik bibir kering mana suaranya🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️
Udah pada cobain ini belum? 👀

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #jessica #G30SPKI #LVSS24 #nextforu #maulidnabi #skintific #skintificid #Tisha #Lipcream #BibirKering #FruityLipCream #Fruity",milik bibir kering suara mencoba beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours jessica gspki lvss nextforu maulidnabi skintific skintificid tisha lipcream bibirkering fruitylipcream fruity,"['milik', 'bibir', 'kering', 'suara', 'mencoba', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'jessica', 'gspki', 'lvss', 'nextforu', 'maulidnabi', 'skintific', 'skintificid', 'tisha', 'lipcream', 'bibirkering', 'fruitylipcream', 'fruity']",-1,netral
"Perasaan pas di dalem flawless, kenapa begitu sampe luar jadi lemes liat hasilnya 🗿🤡

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #maulidnabi #skintific #BodyCare #skintificid #Maulidnabimuhammad #Jessica #AsianGames2022 #Chika #jokes #Wardah",asa pas dalem flawless sampai lemes lihat hasil beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours maulidnabi skintific bodycare skintificid maulidnabimuhammad jessica asiangames chika jokes wardah,"['asa', 'pas', 'dalem', 'flawless', 'sampai', 'lemes', 'lihat', 'hasil', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'maulidnabi', 'skintific', 'bodycare', 'skintificid', 'maulidnabimuhammad', 'jessica', 'asiangames', 'chika', 'jokes', 'wardah']",-2,negatif
"Colorfest kali ini discountnya bombastis loh bestwiii, makeup start 15Ribuan ajah! 😱
Gak percaya? Yuk cek livenya sekarang! ✨🤩

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #maulidnabi #skintific #BodyCare #skintificid #Maulidnabimuhammad #Jessica",colorfest kali discountnya bombastis loh bestwiii makeup start ribu saja percaya yuk livenya beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours maulidnabi skintific bodycare skintificid maulidnabimuhammad jessica,"['colorfest', 'kali', 'discountnya', 'bombastis', 'loh', 'bestwiii', 'makeup', 'start', 'ribu', 'saja', 'percaya', 'yuk', 'livenya', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'maulidnabi', 'skintific', 'bodycare', 'skintificid', 'maulidnabimuhammad', 'jessica']",0,netral
"Selamat memperingati Maulid Nabi Muhammad SAW bagi bestwiii MinPro yang merayakan ✨🙏🏻

#BeliajadiProperBeauty #ProperBeautyid #ProperBeauty #ProperBeautyisYours #maulidnabi #skintific #BodyCare #skintificid #Maulidnabimuhammad  #ProperGreeting",selamat ingat maulid nabi muhammad saw bestwiii minpro raya beliajadiproperbeauty properbeautyid properbeauty properbeautyisyours maulidnabi skintific bodycare skintificid maulidnabimuhammad propergreeting,"['selamat', 'ingat', 'maulid', 'nabi', 'muhammad', 'saw', 'bestwiii', 'minpro', 'raya', 'beliajadiproperbeauty', 'properbeautyid', 'properbeauty', 'properbeautyisyours', 'maulidnabi', 'skintific', 'bodycare', 'skintificid', 'maulidnabimuhammad', 'propergreeting']",4,positif
"Kenali dulu manfaatnya
Biru dan Pink
shope.ee/8KMVFF82QS
s.lazada.co.id/s.liPmf?cc

#skintific #skintificid #skincare",kenal manfaat biru pink shopeeekmvffqs slazadacoidslipmfcc skintific skintificid skincare,"['kenal', 'manfaat', 'biru', 'pink', 'shopeeekmvffqs', 'slazadacoidslipmfcc', 'skintific', 'skintificid', 'skincare']",3,positif
"Wajib banget cobain masker yang satu ini. 
Belinya di sini 👉 shope.ee/A9msL48r1F

#racunshopee #racuninmakeup #racunbelanja #skintificid #mugwort #claymask #glowup #jerawat",wajib banget mencoba masker beli shopeeeamslrf racunshopee racuninmakeup racunbelanja skintificid mugwort claymask glowup jerawat,"['wajib', 'banget', 'mencoba', 'masker', 'beli', 'shopeeeamslrf', 'racunshopee', 'racuninmakeup', 'racunbelanja', 'skintificid', 'mugwort', 'claymask', 'glowup', 'jerawat']",-7,negatif
"Nyobain clay mask yang bisa bikin rontok komedo dan bersihin pori-pori😭👍
Sungkem dulu sama Skintific!🙏
#skintizen #skintific #racuninskincare",mencoba clay mask bikin rontok komedo bersihin poripori sungkem skintific skintizen skintific racuninskincare,"['mencoba', 'clay', 'mask', 'bikin', 'rontok', 'komedo', 'bersihin', 'poripori', 'sungkem', 'skintific', 'skintizen', 'skintific', 'racuninskincare']",-3,negatif
